NUMBER,TICK,TIME,DS18_T,DS18_E_READ,DS18_E_INIT,DHT_T,DHT_H,DHT_E,SOILTEMP1,SOILTEMP2,SOILTEMP3,SOILTEMP_E_1,SOILTEMP_E_2,SOILTEMP_E_3
40,600,693776,24.5625,0,0,24,55,0,31.47536635524665,30.467114384048386,32.585181395392,0,0,0
41,615,700559,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
42,630,707319,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
43,645,714100,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
44,660,720883,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
45,675,727635,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.67817402242372,0,0,0
46,690,734415,24.5625,0,0,24,55,0,31.47536635524665,30.558443575486365,32.585181395392,0,0,0
47,705,741178,24.5625,0,0,24,55,0,31.47536635524665,30.467114384048386,32.67817402242372,0,0,0
48,720,747951,24.5,0,0,24,55,0,31.47536635524665,30.467114384048386,32.67817402242372,0,0,0
49,735,754721,24.5,0,0,24,55,0,31.47536635524665,30.467114384048386,32.67817402242372,0,0,0
50,750,761468,24.5625,0,0,24,55,0,31.47536635524665,30.467114384048386,32.67817402242372,0,0,0
51,765,768252,24.5625,0,0,24,55,0,31.47536635524665,30.467114384048386,32.67817402242372,0,0,0
52,780,775014,24.5,0,0,24,55,0,31.47536635524665,30.467114384048386,32.67817402242372,0,0,0
53,795,781766,24.5625,0,0,24,55,0,31.47536635524665,30.467114384048386,32.67817402242372,0,0,0
54,810,788554,24.5625,0,0,24,55,0,31.47536635524665,30.467114384048386,32.67817402242372,0,0,0
55,825,795330,24.5,0,0,24,55,0,31.47536635524665,30.558443575486365,32.492269914646386,0,0,0
56,840,803098,24.375,0,0,24,54,0,31.47536635524665,32.39943875838782,34.177774954523954,0,0,0
57,855,810346,24.375,0,0,24,46,0,33.05097253774767,33.89484218521875,35.798030495875196,0,0,0
58,870,817660,24.3125,0,0,23,43,0,34.46156835724253,34.84133981127985,36.668537267496674,0,0,0
59,885,824952,24.5,0,0,23,42,0,35.318353769591,35.318353769591,37.05850699685283,0,0,0
60,900,832241,24.625,0,0,23,41,0,35.798030495875196,35.7018765081998,37.25423220468281,0,0,0
61,915,842509,24.625,0,0,23,45,0,36.0871636164926,38.339964129655186,37.156307054305046,0,0,0
62,930,853706,24.75,0,0,23,54,0,36.1837682515295,38.53911988870078,37.05850699685283,0,0,0
63,945,864930,24.875,0,0,23,58,0,36.1837682515295,38.63890733032167,36.863278063845655,0,0,0
64,960,876152,25.0625,0,0,23,61,0,36.0871636164926,38.7388359685786,36.7658471537826,0,0,0
65,975,884478,25.25,0,0,23,64,0,35.99067308977135,38.7388359685786,36.668537267496674,0,0,0
66,990,891793,25.3125,0,0,23,65,0,35.99067308977135,38.838906928338986,36.57134740136888,0,0,0
67,1005,899083,25.375,0,0,23,66,0,35.89429570378968,38.7388359685786,36.474276557117605,0,0,0
68,1020,906385,25.5,0,0,23,66,0,35.89429570378968,38.7388359685786,36.37732374173464,0,0,0
69,1035,913676,25.625,0,0,23,68,0,35.798030495875196,38.7388359685786,36.37732374173464,0,0,0
70,1050,920954,25.6875,0,0,23,68,0,35.7018765081998,38.838906928338986,36.28048796742206,0,0,0
71,1065,928626,25.75,0,0,23,68,0,35.6058327877206,38.7388359685786,36.1837682515295,0,0,0
72,1080,935919,25.8125,0,0,23,68,0,35.7018765081998,38.838906928338986,36.1837682515295,0,0,0
73,1095,943184,25.9375,0,0,23,68,0,35.6058327877206,38.838906928338986,36.1837682515295,0,0,0
74,1110,950500,26.0,0,0,23,69,0,35.6058327877206,38.838906928338986,36.1837682515295,0,0,0
75,1125,957779,26.0625,0,0,23,69,0,35.6058327877206,38.838906928338986,36.1837682515295,0,0,0
76,1140,965040,26.125,0,0,23,69,0,35.50989838612179,38.838906928338986,36.0871636164926,0,0,0
77,1155,972342,26.25,0,0,23,70,0,35.4140723597568,38.838906928338986,36.0871636164926,0,0,0
78,1170,979619,26.3125,0,0,23,70,0,35.4140723597568,38.838906928338986,35.99067308977135,0,0,0
79,1185,986916,26.4375,0,0,23,71,0,35.4140723597568,38.838906928338986,35.89429570378968,0,0,0
80,1200,994167,26.5,0,0,23,71,0,35.318353769591,38.838906928338986,35.99067308977135,0,0,0
81,1215,1001477,26.5625,0,0,24,71,0,35.6058327877206,38.838906928338986,36.0871636164926,0,0,0
82,1230,1008769,26.625,0,0,24,71,0,35.50989838612179,38.838906928338986,36.0871636164926,0,0,0
83,1245,1016016,26.6875,0,0,24,72,0,35.4140723597568,38.838906928338986,36.0871636164926,0,0,0
84,1260,1023289,26.75,0,0,24,72,0,35.4140723597568,38.838906928338986,35.99067308977135,0,0,0
85,1275,1030567,26.875,0,0,24,72,0,35.318353769591,38.838906928338986,36.0871636164926,0,0,0
86,1290,1037910,26.875,0,0,24,72,0,35.22274168114501,38.838906928338986,36.0871636164926,0,0,0
87,1305,1045201,26.9375,0,0,24,72,0,35.22274168114501,38.838906928338986,36.1837682515295,0,0,0
88,1320,1052469,27.0,0,0,24,72,0,35.318353769591,38.838906928338986,36.1837682515295,0,0,0
89,1335,1059774,27.0625,0,0,24,72,0,35.318353769591,38.838906928338986,36.28048796742206,0,0,0
90,1350,1067052,27.0625,0,0,24,73,0,35.318353769591,38.43947252561583,36.474276557117605,0,0,0
91,1365,1074354,27.0,0,0,24,73,0,34.08336958037245,38.04226172909051,37.352283479272444,0,0,0
92,1380,1081650,26.9375,0,0,24,70,0,35.318353769591,38.838906928338986,38.141359826433586,0,0,0
93,1395,1088971,27.25,0,0,24,64,0,36.474276557117605,38.93912134131824,38.43947252561583,0,0,0
94,1410,1096251,27.375,0,0,24,60,0,36.863278063845655,39.341436403970306,38.7388359685786,0,0,0
95,1425,1103528,27.0,0,0,24,56,0,36.960831006706485,39.44238530417465,37.844468215701,0,0,0
96,1440,1110866,27.0,0,0,24,55,0,36.960831006706485,39.13998508852126,35.99067308977135,0,0,0
97,1455,1118167,27.3125,0,0,24,55,0,36.863278063845655,39.0394803461607,35.03183329393556,0,0,0
98,1470,1125421,27.4375,0,0,24,54,0,34.93653514848734,39.0394803461607,35.6058327877206,0,0,0
99,1485,1132703,27.5625,0,0,24,54,0,34.74624636977853,38.93912134131824,35.99067308977135,0,0,0
100,1500,1139999,27.5,0,0,24,54,0,34.93653514848734,38.838906928338986,36.1837682515295,0,0,0
101,1515,1147301,27.625,0,0,24,53,0,35.03183329393556,38.53911988870078,36.28048796742206,0,0,0
102,1530,1154576,27.5625,0,0,24,53,0,35.03183329393556,38.24059359601745,36.28048796742206,0,0,0
103,1545,1161826,27.3125,0,0,24,52,0,35.12723516443873,37.943298218555526,36.28048796742206,0,0,0
104,1560,1169146,27.125,0,0,24,52,0,35.22274168114501,37.64720444760593,36.28048796742206,0,0,0
105,1575,1176443,27.4375,0,0,24,53,0,35.12723516443873,37.54876855497372,36.28048796742206,0,0,0
106,1590,1183723,27.5,0,0,24,52,0,35.22274168114501,37.352283479272444,36.28048796742206,0,0,0
107,1605,1191017,27.6875,0,0,24,53,0,35.22274168114501,37.156307054305046,36.28048796742206,0,0,0
108,1620,1198334,27.75,0,0,24,54,0,35.318353769591,36.960831006706485,36.28048796742206,0,0,0
109,1635,1205614,27.8125,0,0,24,55,0,35.318353769591,36.7658471537826,36.1837682515295,0,0,0
110,1650,1212913,27.875,0,0,24,55,0,35.22274168114501,36.57134740136888,36.1837682515295,0,0,0
111,1665,1220198,28.0625,0,0,24,56,0,35.22274168114501,36.474276557117605,36.0871636164926,0,0,0
112,1680,1227504,28.125,0,0,24,57,0,35.22274168114501,36.28048796742206,36.0871636164926,0,0,0
113,1695,1234785,28.25,0,0,24,56,0,35.22274168114501,36.1837682515295,36.0871636164926,0,0,0
114,1710,1242034,28.375,0,0,24,55,0,35.22274168114501,35.99067308977135,35.99067308977135,0,0,0
115,1725,1249331,28.5,0,0,24,57,0,35.22274168114501,35.89429570378968,35.99067308977135,0,0,0
116,1740,1256690,28.5,0,0,24,57,0,35.22274168114501,35.798030495875196,35.99067308977135,0,0,0
117,1755,1263984,28.5625,0,0,24,58,0,35.22274168114501,35.798030495875196,36.0871636164926,0,0,0
118,1770,1271267,28.6875,0,0,24,56,0,35.318353769591,35.7018765081998,36.0871636164926,0,0,0
119,1785,1278561,28.5625,0,0,24,55,0,35.4140723597568,35.7018765081998,36.0871636164926,0,0,0
120,1800,1285878,28.75,0,0,24,55,0,35.4140723597568,35.6058327877206,35.99067308977135,0,0,0
121,1815,1293170,28.9375,0,0,24,58,0,35.318353769591,35.50989838612179,35.89429570378968,0,0,0
122,1830,1300448,29.0625,0,0,24,59,0,35.318353769591,35.318353769591,35.89429570378968,0,0,0
123,1845,1307728,29.1875,0,0,24,59,0,35.22274168114501,35.318353769591,35.798030495875196,0,0,0
124,1860,1315020,29.25,0,0,24,58,0,35.22274168114501,35.22274168114501,35.798030495875196,0,0,0
125,1875,1322312,29.3125,0,0,24,58,0,35.22274168114501,35.12723516443873,35.798030495875196,0,0,0
126,1890,1329597,29.375,0,0,24,57,0,35.22274168114501,35.03183329393556,35.7018765081998,0,0,0
127,1905,1336898,29.4375,0,0,24,55,0,35.12723516443873,34.93653514848734,35.6058327877206,0,0,0
128,1920,1344199,29.5,0,0,25,55,0,35.03183329393556,34.93653514848734,35.7018765081998,0,0,0
129,1935,1351477,29.6875,0,0,25,55,0,35.03183329393556,35.03183329393556,35.7018765081998,0,0,0
130,1950,1358763,29.625,0,0,25,54,0,35.12723516443873,35.03183329393556,35.798030495875196,0,0,0
131,1965,1366097,29.5625,0,0,25,54,0,35.22274168114501,35.03183329393556,35.798030495875196,0,0,0
132,1980,1373407,29.625,0,0,25,52,0,35.22274168114501,34.93653514848734,35.7018765081998,0,0,0
133,1995,1380654,29.6875,0,0,25,53,0,35.12723516443873,34.55636154483477,33.89484218521875,0,0,0
134,2010,1387923,29.5,0,0,25,54,0,34.272275952033965,34.46156835724253,34.272275952033965,0,0,0
135,2025,1395247,28.875,0,0,25,56,0,34.46156835724253,34.65125391567523,34.55636154483477,0,0,0
136,2040,1402541,28.375,0,0,25,56,0,34.74624636977853,34.74624636977853,34.84133981127985,0,0,0
137,2055,1409812,27.9375,0,0,25,56,0,34.93653514848734,34.84133981127985,35.03183329393556,0,0,0
138,2070,1417092,27.75,0,0,25,55,0,35.03183329393556,34.93653514848734,35.318353769591,0,0,0
139,2085,1424412,27.625,0,0,25,52,0,35.318353769591,35.12723516443873,35.6058327877206,0,0,0
140,2100,1431702,27.5,0,0,25,49,0,35.4140723597568,34.55636154483477,35.6058327877206,0,0,0
141,2115,1439016,27.4375,0,0,26,49,0,35.4140723597568,34.36687345695208,33.98905894939435,0,0,0
142,2130,1446296,28.0,0,0,26,51,0,35.12723516443873,34.177774954523954,33.98905894939435,0,0,0
143,2145,1453578,28.1875,0,0,26,50,0,35.03183329393556,33.89484218521875,33.89484218521875,0,0,0
144,2160,1460869,28.4375,0,0,26,52,0,34.55636154483477,33.61274638597973,33.80071841523983,0,0,0
145,2175,1468184,28.375,0,0,26,51,0,34.46156835724253,33.518896399872176,33.518896399872176,0,0,0
146,2190,1475479,28.875,0,0,26,53,0,34.177774954523954,33.425135954212465,33.3314641944919,0,0,0
147,2205,1482794,29.3125,0,0,26,53,0,33.98905894939435,33.23788026967833,32.492269914646386,0,0,0
148,2220,1490074,29.375,0,0,26,53,0,33.80071841523983,33.14438333216975,32.77124862060998,0,0,0
