NUMBER,TICK,TIME,PRESSURE,TEMPERATURE_BMP280,BMP280_ERR,BAR_HEIGHT,LAT,LON,HEIGHT,HASFIX,ADC_HIGH_1,ADC_LOW_1,RESISTANCE_1,ADC_HIGH_2,ADC_LOW_2,RESISTANCE_2,ADC_HIGH_3,ADC_LOW_3,RESISTANCE_3
58,290,365743,98729.0,27.239999771118164,0,216.18829230860507,5632.0068359375,3.673840235858946E-40,146.10000610351562,1,39499,57257,199993,39460,57224,199993,39455,57217,199993
59,295,371981,98731.0,27.229999542236328,0,216.0183552432622,5632.0126953125,2.7551209366783093E-40,145.89999389648438,1,39727,57926,199993,42570,60025,199993,40826,58592,199993
60,300,378230,98736.0,27.399999618530273,0,215.59352477422715,5643.48681640625,3742.947509765625,146.10000610351562,1,41198,58686,199993,41484,59125,199993,40952,58627,199993
61,305,384518,98735.0,27.520000457763672,0,215.67848947444807,5643.48681640625,3742.94775390625,145.5,1,41102,58658,199993,41610,59203,199993,40758,58467,199993
62,310,390797,98741.0,27.5,0,215.16871172439107,5643.48681640625,3742.948486328125,145.3000030517578,1,39501,57252,199993,39460,57226,199993,39475,57245,199993
63,315,397036,98734.0,27.31999969482422,0,215.76345487144778,5632.01123046875,0.0,144.8000030517578,1,39502,57259,199993,39469,57229,199993,39449,57218,199993
64,320,403300,98738.0,27.510000228881836,0,215.42359746407737,5632.01220703125,0.0,144.89999389648438,1,39523,57261,199993,39474,57236,199993,39463,57233,199993
65,325,409563,98736.0,27.559999465942383,0,215.59352477422715,5632.01123046875,7.006492321624085E-45,144.60000610351562,1,39505,57264,199993,39484,57247,199993,39508,57273,199993
66,330,415801,98733.0,27.600000381469727,0,215.84842096524102,5632.0126953125,0.0,144.5,1,39501,57265,199993,39479,57248,199993,39526,57294,199993
67,335,422067,98731.0,27.549999237060547,0,216.0183552432622,5632.01220703125,0.0,144.8000030517578,1,39500,57266,199993,39483,57249,199993,39516,57285,199993
68,340,428304,98736.0,27.1200008392334,0,215.59352477422715,5643.4873046875,3742.947509765625,145.60000610351562,1,39501,57266,199993,39482,57250,199993,39521,57290,199993
69,345,434543,98735.0,27.18000030517578,0,215.67848947444807,5643.4873046875,3742.947265625,146.39999389648438,1,39500,57268,199993,39472,57245,199993,39484,57259,199993
70,350,440837,98732.0,26.989999771118164,0,215.93338775584255,5643.4873046875,3742.94677734375,146.10000610351562,1,39500,57254,199993,39461,57236,199993,39445,57217,199993
71,355,447076,98741.0,27.350000381469727,0,215.16871172439107,5663.9912109375,1.8216880036222622E-44,146.1999969482422,1,40236,57958,199993,39437,57215,199993,39441,57215,199993
72,360,453314,98736.0,27.149999618530273,0,215.59352477422715,5632.0009765625,0.0,146.10000610351562,1,39500,57270,199993,39455,57231,199993,39449,57226,199993
73,365,459616,98731.0,26.920000076293945,0,216.0183552432622,5632.00341796875,0.0,147.6999969482422,1,39503,57269,199993,39458,57234,199993,39451,57226,199993
74,370,465829,98735.0,26.829999923706055,0,215.67848947444807,5632.0009765625,0.0,147.5,1,39489,57255,199993,29,17804,72,39498,57267,199993
75,375,472116,98725.0,26.899999618530273,0,216.52817480168372,5632.00146484375,0.0,147.0,1,39501,57271,199993,39457,57235,199993,39489,57265,199993
76,380,478375,98729.0,26.81999969482422,0,216.18829230860507,5643.48681640625,3742.948486328125,147.39999389648438,1,39502,57270,199993,39457,57234,199993,39450,57227,199993
77,385,484633,98729.0,26.700000762939453,0,216.18829230860507,5643.48681640625,3742.948486328125,147.8000030517578,1,39502,57270,199993,65201,17620,2446,39484,57248,199993
78,390,490894,98728.0,26.739999771118164,0,216.27326188655778,5632.00244140625,0.0,147.89999389648438,1,39492,57258,199993,65525,17768,750,39486,57260,199993
79,395,497153,98726.0,26.790000915527344,0,216.4432031330848,5632.00341796875,0.0,148.0,1,39500,57268,199993,39458,57233,199993,39451,57225,199993
80,400,503408,98728.0,26.84000015258789,0,216.27326188655778,5632.00244140625,0.0,147.6999969482422,1,39502,57269,199993,39459,57233,199993,39450,57225,199993
81,405,509644,98726.0,26.860000610351562,0,216.4432031330848,5632.00390625,0.0,147.5,1,39503,57268,199993,39457,57234,199993,39449,57224,199993
82,410,515927,98726.0,26.899999618530273,0,216.4432031330848,5632.00244140625,0.0,147.39999389648438,1,39501,57268,199993,39457,57231,199993,39449,57225,199993
83,415,522188,98723.0,26.93000030517578,0,216.6981202296212,5632.001953125,0.0,146.89999389648438,1,39509,57270,199993,39458,57232,199993,39453,57225,199993
84,420,528429,98726.0,26.959999084472656,0,216.4432031330848,5632.00146484375,0.0,146.89999389648438,1,39502,57267,199993,39466,57235,199993,39452,57224,199993
85,425,534688,98727.0,26.979999542236328,0,216.3582321613778,5643.48681640625,3742.949462890625,146.60000610351562,1,39501,57267,199993,39459,57231,199993,39450,57223,199993
